bank_quarter_id,ticker,report_year,report_quarter,quarter_label,period_end,period_end_date,asof_trade_date,exchange,trading_history_years,years_listed,listing_date_after_period_flag,total_assets_bn_vnd,customer_loans_bn_vnd,customer_deposits_bn_vnd,equity_bn_vnd,daily_return_asof,ret_3m,ret_6m,vol_20d,avg_volume_20d,price_momentum_score,liquidity_score,risk_score_basic,roe_pct,net_income_reported_bn_vnd,operating_profit_before_provision_bn_vnd,provision_expense_abs_bn_vnd,nim_proxy,loan_growth_yoy,deposit_growth_yoy,debt_to_equity,current_ratio_proxy,npl_ratio,llr,casa_ratio,market_cap_bn_vnd,log_market_cap,book_equity_bn_vnd,pb_ratio,daily_return_asof_missing,ret_3m_missing,ret_6m_missing,vol_20d_missing,avg_volume_20d_missing,net_income_reported_missing,nim_proxy_missing,loan_growth_yoy_missing,deposit_growth_yoy_missing,debt_to_equity_missing,current_ratio_proxy_missing,npl_ratio_missing,llr_missing,casa_ratio_missing,prev_year_annual_ocr_missing,market_cap_missing,book_equity_missing,pb_ratio_missing,log_market_cap_missing,years_listed_missing,trading_history_years_missing,segment_label
156,BAB,2022,1,2022Q1,202203,2022-03-31,2022-03-31,HNX,4.0436507936507937,1.0759753593429158,0,117077.868000000000,85911.885000000000,95031.417000000000,9247.7590000000000000,0.00000000000000000000,-0.02670623145400593472,-0.02206320810971973763,0.0061444228780904612524717048723268476240,21997.700000000000,0.1,0,0.04,2.15,196.6160000000000000,253.4120000000000000,7.5470000000000000,0.44825999971613082100,13.55274107077502070000,6.01097471091970048900,11.6601339848929887,0.15747465302107781418,0.77460467652695804000,161.7743242438993900,0.95941265147436550900,17583.099296400000,9.7746934524242763,9247.7590000000000000,1.9013362368547883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Safe
218,BID,2022,1,2022Q1,202203,2022-03-31,2022-03-31,HOSE,6.2896825396825397,8.1806981519507187,0,1847704.434000000000,1382262.545000000000,1396301.169000000000,89837.725000000000,-0.00126622348844571067,0.2426152028357621,0.3711429813124728,0.0207295068551813419453458381628803311695,2217195.000000000000,0.9,0.56,0.88,4.05,3571.1600000000000000,11904.773000000000,7391.2720000000000000,0.71064787490375531200,14.22491651180568068500,13.89472906695917312200,19.5671329499940031,0.13515094391607822411,0.99999923004955964300,214.8459994584505500,19.36620676979216191900,229686.057375500000,12.344468687555419,89837.725000000000,2.5566771350843980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Safe
266,BVB,2022,1,2022Q1,202203,2022-03-31,2022-03-31,UPCOM,1.7182539682539683,1.7248459958932238,0,77675.727000000000,48862.135000000000,46833.268000000000,4779.4010000000000000,0.00000000000000000000,-0.11669555170421721548,-0.05733662145499383477,0.0116370217331145174701361380903225795505,1319635.700000000000,0,0.4,0.36,2.94,138.4190000000000000,169.1890000000000000,4.4440000000000000,0.54254438056408858100,18.20303864332644910100,21.14060809997243939500,15.2521887156988920,0.21053870396705589799,2.53491894613866606700,59.57034820979838068500,,9798.1378000000000000,9.1899476261943349,4779.4010000000000000,2.0500765263262070,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Safe
334,CTG,2022,1,2022Q1,202203,2022-03-31,2022-03-31,HOSE,6.2301587301587302,12.7063655030800821,0,1663730.167000000000,1199357.414000000000,1212678.007000000000,98296.423000000000,0.01219512195121951220,-0.01386138613861386139,0.0738544474393531,0.0091724604481833815379885282166925009717,5233305.000000000000,0.33999999999999997,0.8,0.16,4.86,4663.9070000000000000,10249.179000000000,4426.6830000000000000,0.63506946617420645200,19.54977650071453762500,20.82072017742211377500,15.9256430317917062,0.13474602985177506177,1.26478046136783520800,180.3794631852880300,19.43081298441632017400,154717.537169040000,11.949356392573355,98296.423000000000,1.5739894947046038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Safe
402,EIB,2022,1,2022Q1,202203,2022-03-31,2022-03-31,HOSE,6.4603174603174603,12.4243668720054757,0,172343.012000000000,121026.873000000000,139085.743000000000,18449.045000000000,-0.01357466063348416290,0.1824457593688363,0.5470967741935484,0.0230730524853991715847885117948673424027,750745.000000000000,0.9,0.28,0.92,3.57,647.2280000000000000,967.3690000000000000,158.3360000000000000,0.73626020288288128000,16.64981724164891798500,2.15912189266623644800,8.3415681949932910,0.20281483808913704850,1.95971506513690081200,60.80863402061855670100,3.77375841655268871500,44668.040155860000,10.707013539550234,18449.045000000000,2.4211573095442068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Growth
453,HDB,2022,1,2022Q1,202203,2022-03-31,2022-03-31,HOSE,4.1865079365079365,4.2327173169062286,0,381046.023000000000,222466.108000000000,201490.028000000000,32811.485000000000,0.00173310225303292894,-0.01196581196581196581,0.1136801541425819,0.0128425298689110294806828034688555104095,3408010.000000000000,0.4,0.64,0.48,6.03,1918.3990000000000000,3196.8230000000000000,669.3080000000000000,1.07016485564492322200,20.03497375403708090700,8.92087815849758121800,10.6131904118329298,0.20634049228052158342,1.65349052804996913000,72.97662878157706692700,13.06689257145272142000,57860.994293880000,10.965798762860179,32811.485000000000,1.7634372322337742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Growth
502,KLB,2022,1,2022Q1,202203,2022-03-31,2022-03-31,HOSE,4.3373015873015873,,1,80844.175000000000,35720.575000000000,52418.752000000000,4784.6750000000000000,-0.01060220525869380831,0.5806233062330623,0.8515873015873016,0.0536587898129119056416243289509272625201,99186.400000000000,1,0.12,1,2.14,101.1780000000000000,220.6340000000000000,93.6800000000000000,0.53861418203391903300,0.82588107897311227000,9.80511139671174669700,15.8964819972098418,0.45158494336670632860,1.89170705476615610200,50.51337416824571453800,15.52479731302655055600,13493.384371580000,9.5099547977648389,4784.6750000000000000,2.8201255825275489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Risky
551,LPB,2022,1,2022Q1,202203,2022-03-31,2022-03-31,HOSE,4.4126984126984127,1.3880903490759754,0,284918.135000000000,204271.906000000000,177459.816000000000,18222.660000000000,-0.01094527363184079602,-0.00200803212851405622,-0.02068965517241379310,0.0107879357581855945641872411163340331016,6370380.000000000000,0.26,0.84,0.32,8.11,1420.7830000000000000,2107.0740000000000000,311.6630000000000000,1.00179265713815910500,13.31816580480315647200,0.72709188210429409500,14.6353756806086488,0.11335137200959258870,1.37037440598926455300,110.7299785503800700,,29693.584074000000,10.298686277009705,18222.660000000000,1.6294868078535186,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Risky
612,MBB,2022,1,2022Q1,202203,2022-03-31,2022-03-31,HOSE,6.4603174603174603,10.4120465434633812,0,649039.794000000000,405221.579000000000,390173.507000000000,67063.548000000000,0.00883152173913043478,0.1702127659574468,0.1767036450079239,0.0138080228680052606335569364504788590684,13522830.000000000000,0.74,0.96,0.6,7.02,4546.2090000000000000,8035.1850000000000000,2125.5120000000000000,1.33507675303591173500,27.15706503608862350400,18.98192814719199272800,8.6779817554537973,0.12761941833619099292,0.91694809418658637200,267.9801164920204300,,119616.748648650000,11.692048149562452,67063.548000000000,1.7836328708503463,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Safe
654,MSB,2022,1,2022Q1,202203,2022-03-31,2022-03-31,HOSE,1.2500000000000000,1.2676249144421629,0,195740.713000000000,108842.985000000000,96203.566000000000,23114.849000000000,0.00000000000000000000,-0.06235912847483095417,0.1142857142857143,0.0085607883001128838636579873180250418720,3257310.000000000000,0.30000000000000004,0.6,0.12,5.09,1149.1430000000000000,1665.6300000000000000,170.7130000000000000,0.98346611279902820500,,,7.4681804756760470,0.15587869845505885491,1.74157893088390433100,95.36491833696763838400,34.10403325452424911600,38937.600000000000,10.569715643744810,23114.849000000000,1.6845275519645402,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Risky
