feature
traj__operating_profit_before_provision__yoy_pct__slope3
traj__operating_profit_before_provision__yoy_pct__range4
traj__operating_profit_before_provision__yoy_pct__mean4
traj__operating_profit_before_provision__yoy_pct__lag2
traj__operating_profit_before_provision__yoy_pct__lag1
traj__operating_profit_before_provision__yoy_pct__delta1
traj__operating_profit_before_provision__yoy_pct__acceleration
traj__provision_expense__yoy_pct__acceleration
traj__provision_expense__yoy_pct__lag1
traj__provision_expense__yoy_pct__delta1
traj__provision_expense__yoy_pct__lag2
traj__provision_expense__yoy_pct__range4
traj__provision_expense__yoy_pct__mean4
traj__provision_expense__yoy_pct__slope3
traj__provision_expense__yoy_pct__std4
traj__provision_expense__yoy_pct__slope4
traj__roe_pct__std4
traj__roe_pct__slope4
traj__roe_pct__slope3
traj__roe_pct__mean4
traj__roe_pct__range4
traj__roe_pct__lag1
traj__roe_pct__acceleration
traj__roe_pct__delta1
traj__roe_pct__lag2
traj__net_income_to_equity__acceleration
traj__net_income_to_equity__lag1
traj__net_income_to_equity__delta1
traj__net_income_to_equity__lag2
traj__net_income_to_equity__mean4
traj__net_income_to_equity__range4
traj__net_income_to_equity__slope3
traj__net_income_to_equity__std4
traj__net_income_to_equity__slope4
traj__net_interest_to_assets__acceleration
traj__net_interest_to_assets__delta1
traj__net_interest_to_assets__lag1
traj__net_interest_to_assets__lag2
traj__net_interest_to_assets__mean4
traj__net_interest_to_assets__range4
traj__net_interest_to_assets__slope3
traj__net_interest_to_assets__slope4
traj__net_interest_to_assets__std4
traj__provision_to_preprovision_profit__acceleration
traj__provision_to_preprovision_profit__delta1
traj__provision_to_preprovision_profit__lag1
traj__provision_to_preprovision_profit__lag2
traj__provision_to_preprovision_profit__mean4
traj__provision_to_preprovision_profit__range4
traj__provision_to_preprovision_profit__slope3
traj__provision_to_preprovision_profit__slope4
traj__provision_to_preprovision_profit__std4
traj__loan_growth_yoy__acceleration
traj__loan_growth_yoy__delta1
traj__loan_growth_yoy__lag1
traj__loan_growth_yoy__lag2
traj__loan_growth_yoy__mean4
traj__loan_growth_yoy__range4
traj__loan_growth_yoy__slope3
traj__loan_growth_yoy__slope4
traj__loan_growth_yoy__std4
traj__deposit_growth_yoy__acceleration
traj__deposit_growth_yoy__delta1
traj__deposit_growth_yoy__lag1
traj__deposit_growth_yoy__lag2
traj__deposit_growth_yoy__mean4
traj__deposit_growth_yoy__range4
traj__deposit_growth_yoy__slope3
traj__deposit_growth_yoy__slope4
traj__deposit_growth_yoy__std4
traj__credit_funding_growth_gap__acceleration
traj__credit_funding_growth_gap__delta1
traj__credit_funding_growth_gap__lag1
traj__credit_funding_growth_gap__lag2
traj__credit_funding_growth_gap__mean4
traj__credit_funding_growth_gap__range4
traj__credit_funding_growth_gap__slope3
traj__credit_funding_growth_gap__slope4
traj__credit_funding_growth_gap__std4
traj__loan_to_deposit__acceleration
traj__loan_to_deposit__delta1
traj__loan_to_deposit__lag1
traj__loan_to_deposit__lag2
traj__loan_to_deposit__mean4
traj__loan_to_deposit__range4
traj__loan_to_deposit__slope3
traj__loan_to_deposit__slope4
traj__loan_to_deposit__std4
traj__current_deterioration_10pct
traj__current_deterioration_20pct
traj__deterioration_count4
traj__deterioration_rate8
traj__deterioration_streak
ctx__bank_count
ctx__net_income__yoy_pct__median
ctx__net_income__yoy_pct__negative_rate
ctx__net_income__yoy_pct__std
ctx__net_interest_income__yoy_pct__median
ctx__net_interest_income__yoy_pct__negative_rate
ctx__net_interest_income__yoy_pct__std
ctx__operating_profit_before_provision__yoy_pct__median
ctx__operating_profit_before_provision__yoy_pct__negative_rate
ctx__operating_profit_before_provision__yoy_pct__std
ctx__roe_pct__median
ctx__roe_pct__negative_rate
ctx__roe_pct__std
ctx__provision_to_preprovision_profit__median
ctx__provision_to_preprovision_profit__negative_rate
ctx__provision_to_preprovision_profit__std
ctx__credit_funding_growth_gap__median
ctx__credit_funding_growth_gap__negative_rate
ctx__credit_funding_growth_gap__std
ctx__current_deterioration_rate
ctx__current_severe_deterioration_rate
ctx__deposit_growth_yoy__median
ctx__deposit_growth_yoy__negative_rate
ctx__deposit_growth_yoy__std
ctx__loan_growth_yoy__median
ctx__loan_growth_yoy__negative_rate
ctx__loan_growth_yoy__std
outlier__credit_funding_growth_gap__flag
outlier__credit_funding_growth_gap__robust_z
outlier__deposit_growth_yoy__flag
outlier__deposit_growth_yoy__robust_z
outlier__flag_count
outlier__loan_growth_yoy__flag
outlier__loan_growth_yoy__robust_z
outlier__loan_to_deposit__flag
outlier__loan_to_deposit__robust_z
outlier__net_income__yoy_pct__flag
outlier__net_income__yoy_pct__robust_z
outlier__net_income_to_equity__flag
outlier__net_income_to_equity__robust_z
outlier__net_interest_income__yoy_pct__flag
outlier__net_interest_income__yoy_pct__robust_z
outlier__net_interest_to_assets__flag
outlier__net_interest_to_assets__robust_z
outlier__operating_profit_before_provision__yoy_pct__flag
outlier__operating_profit_before_provision__yoy_pct__robust_z
outlier__provision_expense__yoy_pct__flag
outlier__provision_expense__yoy_pct__robust_z
outlier__provision_to_preprovision_profit__flag
outlier__provision_to_preprovision_profit__robust_z
outlier__roe_pct__flag
outlier__roe_pct__robust_z
ticker__ABB
ticker__ACB
ticker__BAB
ticker__BID
ticker__BVB
ticker__CTG
ticker__EIB
ticker__HDB
ticker__KLB
ticker__LPB
ticker__MBB
ticker__MSB
ticker__NAB
ticker__NVB
ticker__OCB
ticker__PGB
ticker__SGB
ticker__SHB
ticker__SSB
ticker__STB
ticker__TCB
ticker__TPB
ticker__VAB
ticker__VCB
ticker__VIB
ticker__VPB
